Company,Number_of_Offers,Salary_LPA
TCS,114,3.36 to 9.00
Accenture,105,4.50 to 6.50
LTI Mindtree,39,4.05
Tech Mahindra,31,3.25
Zelis,23,4.80
Kodnest,16,3.00
CTS GenC,14,4.02
ESAF Small Finance Bank,12,3.75
TAP Academy,12,3.00
Playto Labs,11,4.50
PreciFast Private Limited,11,2.40
Sri Chakra Polyplast,8,2.75
NCC Limited,7,3.19
Ramanand Power Solutions,6,2.40
Krishnakanth Infra Projects Pvt. Ltd.,5,3.00
Deloitte,4,4.00
AssetSense,3,8.00
Accolite Digital,3,6.00
TA Digital,3,6.00
Capgemini,3,4.00
MOSCHIP Technologies Pvt Ltd,3,3.00
EBO Mart Pvt. Ltd.,3,2.83
United Systems,3,2.80
Infosys,2,9.50
Framsikt Technologies,2,9.00
Zoho Corporation,2,7.00
Stellantis,2,6.00
Hyundai Motors,2,5.50
RK Interiors Pvt. Ltd.,2,3.65
UltraTech Cement,2,3.60
United Systems,2,3.55
Snovasys (Tech Support),2,3.40
Shadowfax,2,3.00
Design Café (GSE-Commerce pvt.Ltd.),2,3.00
Homzinterio,2,3.00
Adroitech,2,2.70
Snovasys (Digital marketing),2,2.70
Wayfair Global Technology Private Limited,1,23.00
Ciena,1,11.95
IBM,1,11.00
Appyhigh Technology,1,11.00
BARC,1,9.00
Mavenir,1,8.75
Johnson Controls,1,8.50
Flipkart,1,8.21
Zenoti,1,8.00
Reliance Industries Limited,1,7.36
Movate,1,7.05
Ricruit CRM,1,7.00
BIS Scholarship (L & T),1,7.00
AiSPRY,1,6.00
Riktam,1,5.50
ALTIMETRIK,1,5.50
BSCPL,1,5.00
Toshiba,1,4.53
Sutherland,1,4.50
BSCPL,1,4.00
DispatchTrack India Pvt Ltd,1,4.00
Voilacode Technologies,1,3.50
Simplify360,1,3.50
QUANTEON SOLUTIONS,1,3.50
Digilogic Systems,1,3.50
SMART DV TECHONOLOGIES,1,3.30
Nomus Communication,1,3.00
ConstructN,1,3.00
Aura Constructions,1,3.00
ISOL Comapnay,1,3.00
Wellcraft Spaces,1,3.00
PalTech,1,3.00
DB Deign Studio,1,3.00
SAPTHAGIR CAMPHOR PVT LTD,1,2.71
DCI Concepts Pvt. Ltd,1,2.50
Nemmadi.in,1,2.50
NCL Build tech,1,2.40
Sree Constructions Pvt. Ltd.,1,2.24
Shiva Shakti Engineering Ltd,1,1.96
Crimson Innovative Technologies,1,1.96
State Govt. Job,1,
